sweep: 90 cells  (3H x 10TP/SL x 3fk)

Loading candle data (365d_BA) ...
  loaded 20 pairs

Building base features ...
  AUD_CAD
  AUD_JPY
  AUD_NZD
  AUD_USD
  CHF_JPY
  EUR_AUD
  EUR_CAD
  EUR_CHF
  EUR_GBP
  EUR_JPY
  EUR_USD
  GBP_AUD
  GBP_CHF
  GBP_JPY
  GBP_USD
  NZD_JPY
  NZD_USD
  USD_CAD
  USD_CHF
  USD_JPY

  H60_TP3.0_SL3.0_fk2.0 ... n=1,522  hit=34.0%  PnL=-1,250pip  Sharpe=-0.0882

====================================================================================================
SWEEP RESULTS (top 20 by Sharpe)
====================================================================================================
Cell                                          N   Hit%        PnL   Sharpe      MaxDD
----------------------------------------------------------------------------------------------------
H60_TP3.0_SL1.0_fk1.0                        34  23.5%        40pip   0.1726     -25.4pip
H40_TP1.5_SL1.0_fk1.0                        65  38.5%        72pip   0.1501     -32.2pip
H60_TP3.0_SL1.0_fk1.5                        61  14.8%        58pip   0.1428     -35.5pip
H20_TP2.0_SL1.0_fk1.5                        85  23.5%        67pip   0.1413     -30.3pip
H60_TP3.0_SL1.0_fk2.0                       123  18.7%        95pip   0.1265     -63.8pip
H20_TP3.0_SL1.5_fk1.5                       101  17.8%        76pip   0.1255     -37.4pip
H40_TP2.0_SL1.0_fk1.0                        66  25.8%        42pip   0.1067     -35.1pip
H60_TP2.0_SL1.0_fk1.0                        47  25.5%        33pip   0.0989     -29.7pip
H40_TP2.0_SL1.0_fk1.5                       139  22.3%        68pip   0.0858     -91.8pip
H20_TP3.0_SL1.0_fk1.5                        34  11.8%        12pip   0.0801     -11.4pip
H40_TP2.0_SL1.5_fk1.0                       267  31.8%       134pip   0.0771     -50.3pip
H20_TP2.0_SL1.0_fk1.0                        39  23.1%        12pip   0.0633     -25.8pip
H60_TP2.0_SL1.5_fk1.0                       254  35.0%       113pip   0.0589     -96.0pip
H20_TP2.0_SL1.5_fk1.0                       178  27.0%        67pip   0.0588     -66.5pip
H40_TP3.0_SL1.0_fk2.0                        97  11.3%        31pip   0.0500     -47.6pip
H60_TP3.0_SL1.5_fk1.0                       115  12.2%        43pip   0.0497     -42.9pip
H60_TP3.0_SL1.5_fk2.0                       387  18.6%       124pip   0.0482     -84.2pip
H40_TP3.0_SL1.5_fk2.0                       334  18.3%        93pip   0.0459     -88.0pip
H40_TP3.0_SL1.5_fk1.0                        88  12.5%        24pip   0.0393     -40.7pip
H20_TP3.0_SL1.0_fk1.0                        39  10.3%         7pip   0.0349     -16.2pip
----------------------------------------------------------------------------------------------------

+++ POSITIVE Sharpe: 27 cells +++
  H60_TP3.0_SL1.0_fk1.0  n=34  hit=23.5%  PnL=40pip  Sharpe=0.1726  MaxDD=-25.4pip
  H40_TP1.5_SL1.0_fk1.0  n=65  hit=38.5%  PnL=72pip  Sharpe=0.1501  MaxDD=-32.2pip
  H60_TP3.0_SL1.0_fk1.5  n=61  hit=14.8%  PnL=58pip  Sharpe=0.1428  MaxDD=-35.5pip
  H20_TP2.0_SL1.0_fk1.5  n=85  hit=23.5%  PnL=67pip  Sharpe=0.1413  MaxDD=-30.3pip
  H60_TP3.0_SL1.0_fk2.0  n=123  hit=18.7%  PnL=95pip  Sharpe=0.1265  MaxDD=-63.8pip
  H20_TP3.0_SL1.5_fk1.5  n=101  hit=17.8%  PnL=76pip  Sharpe=0.1255  MaxDD=-37.4pip
  H40_TP2.0_SL1.0_fk1.0  n=66  hit=25.8%  PnL=42pip  Sharpe=0.1067  MaxDD=-35.1pip
  H60_TP2.0_SL1.0_fk1.0  n=47  hit=25.5%  PnL=33pip  Sharpe=0.0989  MaxDD=-29.7pip
  H40_TP2.0_SL1.0_fk1.5  n=139  hit=22.3%  PnL=68pip  Sharpe=0.0858  MaxDD=-91.8pip
  H20_TP3.0_SL1.0_fk1.5  n=34  hit=11.8%  PnL=12pip  Sharpe=0.0801  MaxDD=-11.4pip
  H40_TP2.0_SL1.5_fk1.0  n=267  hit=31.8%  PnL=134pip  Sharpe=0.0771  MaxDD=-50.3pip
  H20_TP2.0_SL1.0_fk1.0  n=39  hit=23.1%  PnL=12pip  Sharpe=0.0633  MaxDD=-25.8pip
  H60_TP2.0_SL1.5_fk1.0  n=254  hit=35.0%  PnL=113pip  Sharpe=0.0589  MaxDD=-96.0pip
  H20_TP2.0_SL1.5_fk1.0  n=178  hit=27.0%  PnL=67pip  Sharpe=0.0588  MaxDD=-66.5pip
  H40_TP3.0_SL1.0_fk2.0  n=97  hit=11.3%  PnL=31pip  Sharpe=0.0500  MaxDD=-47.6pip
  H60_TP3.0_SL1.5_fk1.0  n=115  hit=12.2%  PnL=43pip  Sharpe=0.0497  MaxDD=-42.9pip
  H60_TP3.0_SL1.5_fk2.0  n=387  hit=18.6%  PnL=124pip  Sharpe=0.0482  MaxDD=-84.2pip
  H40_TP3.0_SL1.5_fk2.0  n=334  hit=18.3%  PnL=93pip  Sharpe=0.0459  MaxDD=-88.0pip
  H40_TP3.0_SL1.5_fk1.0  n=88  hit=12.5%  PnL=24pip  Sharpe=0.0393  MaxDD=-40.7pip
  H20_TP3.0_SL1.0_fk1.0  n=39  hit=10.3%  PnL=7pip  Sharpe=0.0349  MaxDD=-16.2pip
  H20_TP2.0_SL1.0_fk2.0  n=222  hit=18.5%  PnL=36pip  Sharpe=0.0315  MaxDD=-66.7pip
  H20_TP1.5_SL1.0_fk1.0  n=80  hit=28.7%  PnL=9pip  Sharpe=0.0214  MaxDD=-47.6pip
  H20_TP3.0_SL3.0_fk1.0  n=57  hit=24.6%  PnL=7pip  Sharpe=0.0201  MaxDD=-60.4pip
  H40_TP3.0_SL2.0_fk1.0  n=198  hit=23.2%  PnL=23pip  Sharpe=0.0182  MaxDD=-56.8pip
  H20_TP3.0_SL2.0_fk1.5  n=96  hit=16.7%  PnL=7pip  Sharpe=0.0139  MaxDD=-46.4pip
  H40_TP1.5_SL1.5_fk1.0  n=123  hit=42.3%  PnL=6pip  Sharpe=0.0048  MaxDD=-129.4pip
  H60_TP3.0_SL2.0_fk1.5  n=676  hit=23.7%  PnL=1pip  Sharpe=0.0001  MaxDD=-140.2pip
